"STATION","NAME","DATE","TMAX"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-04-18","79"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-04-19","73"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-04-20","81"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-04-21","84"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-04-22","84"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-04-23","73"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-04-24","74"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-04-25","81"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-04-26","80"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-04-27","76"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-04-28","86"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-04-29","85"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-04-30","64"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-01","76"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-02","81"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-03","84"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-04","86"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-05","87"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-06","91"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-07","87"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-08","88"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-09","89"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-10","87"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-11","83"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-12","72"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-13","74"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-14","72"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-15","79"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-16","84"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-17","90"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-18","92"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-19","92"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-20","92"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-21","93"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-22","91"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-23","94"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-24","95"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-25","89"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-26","93"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-27","92"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-28","78"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-29","88"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-30","82"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-05-31","78"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-06-01","80"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-06-02","80"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-06-03","84"
